Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite Integracion Kat,Chrome 133.0.6943.126,,,20-02-2025 16:41:27,20-02-2025 16:42:11,"44,224s",PASSED
,,,,,,,
Test Cases/CP_GIT,Chrome 133.0.6943.126,,,20-02-2025 16:41:28,20-02-2025 16:42:11,"43,732s",PASSED
"openBrowser("""")",Chrome 133.0.6943.126,,,20-02-2025 16:41:28,20-02-2025 16:41:55,"26,637s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 133.0.6943.126,,,20-02-2025 16:41:55,20-02-2025 16:41:57,"2,648s",PASSED
"click(findTestObject(""Object Repository/PAg_DEMO/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 133.0.6943.126,,,20-02-2025 16:41:57,20-02-2025 16:41:59,"1,783s",PASSED
"click(findTestObject(""Object Repository/PAg_DEMO/Page_CURA Healthcare Service/button_Login""))",Chrome 133.0.6943.126,,,20-02-2025 16:41:59,20-02-2025 16:42:04,"4,469s",PASSED
"setText(findTestObject(""Object Repository/PAg_DEMO/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 133.0.6943.126,,,20-02-2025 16:42:04,20-02-2025 16:42:07,"3,415s",PASSED
"click(findTestObject(""Object Repository/PAg_DEMO/Page_CURA Healthcare Service/form_Demo account                          _b80bac""))",Chrome 133.0.6943.126,,,20-02-2025 16:42:07,20-02-2025 16:42:08,"0,511s",PASSED
"setEncryptedText(findTestObject(""Object Repository/PAg_DEMO/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 133.0.6943.126,,,20-02-2025 16:42:08,20-02-2025 16:42:08,"0,617s",PASSED
"click(findTestObject(""Object Repository/PAg_DEMO/Page_CURA Healthcare Service/button_Login""))",Chrome 133.0.6943.126,,,20-02-2025 16:42:08,20-02-2025 16:42:09,"0,778s",PASSED
"setText(findTestObject(""Object Repository/PAg_DEMO/Page_CURA Healthcare Service/textarea_Comment_comment""), ""prueba git"")",Chrome 133.0.6943.126,,,20-02-2025 16:42:09,20-02-2025 16:42:11,"1,571s",PASSED
closeBrowser(),Chrome 133.0.6943.126,,,20-02-2025 16:42:11,20-02-2025 16:42:11,"0,765s",PASSED
